fold,micro_f1,macro_f1,micro_precision,macro_precision,micro_recall,macro_recall,train_time
1,0.42238648363252373,0.2981486547224458,0.5434782608695652,0.39305884827646653,0.3454231433506045,0.2462226789459701,3.027642250061035
2,0.40559440559440557,0.3095674539141374,0.516320474777448,0.39304550459349225,0.33397312859884837,0.2617156345841744,1.382920503616333
3,0.391304347826087,0.3017342251354321,0.5178082191780822,0.43478719573029034,0.3144758735440932,0.24169404632626254,1.3724772930145264
4,0.41774891774891776,0.29426793309632326,0.5026041666666666,0.3724042129126609,0.3574074074074074,0.2534618760224182,1.3602044582366943
5,0.37228541882109617,0.26205418135606096,0.4972375690607735,0.3532059397126223,0.2975206611570248,0.21515569229891013,1.3613312244415283
